Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},156810,939,5,4598,266.38,0.000%,521.15218,146.80,68.64,288.4
TOTAL,156810,939,5,4598,266.38,0.000%,521.15218,146.80,68.64,288.4
