Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,113372,1301,10,5490,466.02,0.000%,376.23992,59.89,96.91,163.0
TOTAL,113372,1301,10,5490,466.02,0.000%,376.23992,59.89,96.91,163.0
