Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},787257,107,13,396,28.44,0.000%,2622.21460,737.89,329.98,288.2
TOTAL,787257,107,13,396,28.44,0.000%,2622.21460,737.89,329.98,288.2
