Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,117022,238,7,2556,205.80,0.000%,389.70312,61.93,100.39,162.7
TOTAL,117022,238,7,2556,205.80,0.000%,389.70312,61.93,100.39,162.7
