Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,317673,263,21,1175,67.74,0.000%,1057.90851,168.11,266.85,162.7
TOTAL,317673,263,21,1175,67.74,0.000%,1057.90851,168.11,266.85,162.7
