Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},785866,108,13,372,29.19,0.000%,2617.72965,736.63,329.42,288.2
TOTAL,785866,108,13,372,29.19,0.000%,2617.72965,736.63,329.42,288.2
