Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},139532,1056,6,4610,361.46,0.000%,463.19368,130.47,61.00,288.4
TOTAL,139532,1056,6,4610,361.46,0.000%,463.19368,130.47,61.00,288.4
