Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},681210,39,11,1724,23.80,0.000%,2270.35188,638.87,285.70,288.2
TOTAL,681210,39,11,1724,23.80,0.000%,2270.35188,638.87,285.70,288.2
