Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,124986,1180,9,5064,395.26,0.000%,415.30211,66.11,107.00,163.0
TOTAL,124986,1180,9,5064,395.26,0.000%,415.30211,66.11,107.00,163.0
