Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},150614,585,5,3653,228.95,0.000%,500.86629,140.98,65.96,288.2
TOTAL,150614,585,5,3653,228.95,0.000%,500.86629,140.98,65.96,288.2
