Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},142670,203,5,1546,114.31,0.000%,475.24192,133.73,62.59,288.2
TOTAL,142670,203,5,1546,114.31,0.000%,475.24192,133.73,62.59,288.2
