Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
点查询 - GET /order/{id},141436,205,5,1817,122.64,0.000%,471.02627,132.55,62.03,288.2
TOTAL,141436,205,5,1817,122.64,0.000%,471.02627,132.55,62.03,288.2
