Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,137800,1070,11,3746,323.31,0.000%,457.41068,72.81,117.89,163.0
TOTAL,137800,1070,11,3746,323.31,0.000%,457.41068,72.81,117.89,163.0
