Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,129121,672,8,10944,700.21,0.000%,429.43567,68.34,110.66,163.0
TOTAL,129121,672,8,10944,700.21,0.000%,429.43567,68.34,110.66,163.0
