Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,772152,188,19,1643,56.26,0.000%,2572.02244,408.71,649.20,162.7
TOTAL,772152,188,19,1643,56.26,0.000%,2572.02244,408.71,649.20,162.7
