Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,120882,230,7,2289,180.48,0.000%,402.65680,63.99,103.74,162.7
TOTAL,120882,230,7,2289,180.48,0.000%,402.65680,63.99,103.74,162.7
