Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
插入订单 - POST /order,108360,804,10,13344,936.20,0.000%,360.32321,57.35,92.80,163.0
TOTAL,108360,804,10,13344,936.20,0.000%,360.32321,57.35,92.80,163.0
